"","Player","Year","Pos","Age","AV","School","Height","X40YD","Vertical","BenchReps","Broad.Jump","X3Cone","Shuttle","Drafted","From","To","Rushing.TD","Rushing.Yards.per.Game","ReceivingTD","Receiving.Yards.per.Game","Ctch.","Total.TD","Offensive.Yards.per.Game"
"1","Aaron Jones",2017,"RB",22,44,"Texas-El Paso",69,45.6,37.5,16,127,68.2,42,182,2017,2021,41,60.3,12,21,73.5,53,81.3
"2","Adrian Peterson",2002,"RB",22,12,"Georgia Southern",70,46.8,34,14,119,75.9,46,199,2007,2021,120,81.1,6,13.4,71.9,126,94.5
"3","Adrian Peterson",2002,"RB",22,12,"Georgia Southern",70,46.8,34,14,119,75.9,46,199,2002,2009,8,12.1,0,6.3,76.5,8,18.4
"4","Adrian Peterson",2007,"RB",21,128,"Oklahoma",73,44,38.5,NA,127,70.9,44,7,2007,2021,120,81.1,6,13.4,71.9,126,94.5
"5","Adrian Peterson",2007,"RB",21,128,"Oklahoma",73,44,38.5,NA,127,70.9,44,7,2002,2009,8,12.1,0,6.3,76.5,8,18.4
"6","Ahmad Bradshaw",2007,"RB",20,47,"Marshall",69,45.5,34,NA,112,67,40.9,250,2007,2015,36,47.8,12,14.5,77,48,62.3
"7","Alex Collins",2016,"RB",21,18,"Arkansas",70,45.9,28.5,18,113,NA,NA,171,2016,2021,18,39.9,1,9.3,73.8,19,49.2
"8","Alex Green",2011,"RB",22,5,"Hawaii",72,44.5,34,20,114,69.1,41.5,96,2011,2013,0,17.6,0,4.8,63.6,0,22.4
"9","Alfred Blue",2014,"RB",22,19,"LSU",74,46.3,32,13,121,71.5,45,181,2014,2018,8,33,2,6.4,80.2,10,39.4
"10","Alfred Morris",2012,"RB",23,40,"Florida Atlantic",70,46.3,35.5,16,117,70.1,41.9,173,2012,2020,35,54.1,1,4.5,68.7,36,58.6
"11","Allen Bradford",2011,"RB",22,1,"USC",71,45.3,29,28,113,69.7,43.9,187,2011,2015,0,0.7,0,0,NA,0,0.7
