"","Player","Year","Pos","Age","AV","School","Height","X40YD","Vertical","BenchReps","Broad.Jump","X3Cone","Shuttle","Drafted","From","To","Rushing.TD","Rushing.Yards.per.Game","ReceivingTD","Receiving.Yards.per.Game","Ctch.","Total.TD","Offensive.Yards.per.Game"
"1","A.J. Green",2011,"WR",22,93,"Georgia",64,44.8,34.5,18,126,69.1,42.1,4,2011,2021,0,0.7,68,71.9,57.5,68,72.6
"2","A.J. Jenkins",2012,"WR",22,2,"Illinois",72,43.7,38.5,12,124,NA,NA,30,2012,2014,0,0.1,0,8,51.5,0,8.1
"3","Aaron Burbridge",2016,"WR",22,1,"Michigan State",72,45.6,30.5,20,115,72.2,43.1,213,2016,2016,0,0,0,5.5,43.8,0,5.5
"4","Aaron Dobson",2013,"WR",21,6,"Marshall",75,43.7,NA,NA,NA,NA,NA,59,2013,2015,0,0,4,29.1,54.1,4,29.1
"5","Ace Sanders",2013,"WR",21,3,"South Carolina",67,45.8,32,7,117,68.1,43.7,101,2013,2014,0,0.1,1,20,60.6,1,20.1
"6","Adrian Arrington",2008,"WR",22,1,"Michigan",75,45.5,NA,NA,NA,NA,NA,237,2010,2011,0,0,0,22,75,0,22
"7","Adrian Madise",2003,"WR",22,0,"TCU",71,44.9,32,NA,119,73.2,42.6,158,2003,2003,0,0.9,0,0.9,66.7,0,1.8
"8","Airese Currie",2005,"WR",22,0,"Clemson",70,44.9,38,NA,125,70.5,40.7,140,2006,2006,0,0,0,0,NA,0,0
"9","Alex Bannister",2001,"WR",21,1,"East. Kentucky",77,44.7,30.5,NA,110,NA,NA,140,2001,2006,0,0,1,2.1,37.5,1,2.1
"10","Allen Robinson",2014,"WR",20,50,"Penn State",75,46,39,NA,127,70,40,61,2014,2021,0,0.1,40,64.1,58.3,40,64.2
"11","Alshon Jeffery",2012,"WR",22,55,"South Carolina",75,44.8,NA,NA,NA,NA,NA,45,2012,2020,1,1.3,46,62.3,57.4,47,63.6
"12","Amara Darboh",2017,"WR",23,1,"Michigan",74,44.5,36,17,124,NA,NA,106,2017,2017,0,0,0,4.4,61.5,0,4.4
"13","Amari Cooper",2015,"WR",20,58,"Alabama",73,44.2,33,NA,120,67.1,39.8,4,2015,2021,0,0.4,46,65.5,63.2,46,65.9
"14","Andre Caldwell",2008,"WR",22,13,"Florida",72,43.5,33,NA,124,67.5,41.1,97,2008,2015,0,0.9,11,14.4,56.9,11,15.3
"15","Andre Johnson",2003,"WR",21,124,"Miami (FL)",74,44.1,39,NA,132,NA,NA,3,2003,2016,0,0.3,70,73.5,61.1,70,73.8
"16","Andre King",2001,"WR",27,2,"Miami (FL)",72,46.1,NA,NA,NA,NA,NA,245,2001,2004,0,0,0,7.8,66.7,0,7.8
"17","Andre Roberts",2010,"WR",22,27,"Citadel",71,44,36,15,120,67.7,41.5,88,2010,2021,0,0.7,15,17.2,53.4,15,17.9
"18","Andre' Davis",2002,"WR",22,27,"Virginia Tech",73,44.2,39.5,NA,123,67.7,41,47,2002,2009,0,0.3,17,23.8,51.7,17,24.1
"19","Anquan Boldin",2003,"WR",22,118,"Florida State",73,47.2,33.5,NA,114,73.5,43.3,54,2003,2016,1,1.1,82,68.2,61.9,83,69.3
