,Code,Location,City,State,lat,lon
0,12420,"Austin-Round Rock, TX",Austin,TX,30.3264,-97.7713
1,14540,"Bowling Green, KY",Bowling Green,KY,37.0174,-86.4518
2,29940,"Lawrence, KS",Lawrence,KS,39.0289,-95.2086
3,48060,"Watertown-Fort Drum, NY",Watertown,NY,43.9743,-75.9122
4,19340,"Davenport-Moline-Rock Island, IA-IL",Davenport,IA,41.5628,-90.5314
5,36500,"Olympia, WA",Olympia,WA,47.0129,-122.8763
6,14260,"Boise, ID",Boise,ID,43.6038,-116.2729
7,24020,"Glens Falls, NY",Glens Falls,NY,43.3115,-73.6448
8,26820,"Idaho Falls, ID",Idaho Falls,ID,43.5518,-111.8919
9,31700,"Manchester-Nashua, NH",Manchester,NH,42.9929,-71.4633
10,41180,"Saint Louis, MO-IL",Saint Louis,MO,38.6346,-90.1913
11,12540,"Bakersfield, CA",Bakersfield,CA,35.3866,-119.0171
12,13820,"Birmingham-Hoover, AL",Birmingham,AL,33.4564,-86.8019
13,33660,"Mobile, AL",Mobile,AL,30.7011,-88.1032
14,11300,"Anderson, IN",Anderson,IN,40.1146,-85.7253
15,27100,"Jackson, MI",Jackson,MI,42.2545,-84.3875
16,37460,"Panama City, FL",Panama City,FL,30.1606,-85.6494
17,49660,"Youngstown-Warren-Boardman, OH-PA",Youngstown,OH,41.0171,-80.8029
18,49740,"Yuma, AZ",Yuma,AZ,32.7015,-114.6424
19,49180,"Winston-Salem, NC",Winston,NC,36.1024,-80.2228
20,29740,"Las Cruces, NM",Las Cruces,NM,32.2901,-106.7539
21,33460,"Minneapolis-St Paul-Bloomington, MN-WI",Minneapolis,MN,44.9462,-93.2
22,39300,"Providence-Warwick, RI-MA",Providence,RI,41.8228,-71.4145
23,33340,"Milwaukee-Waukesha-West Allis, WI",Milwaukee,WI,42.9105,-87.8646
24,34900,"Napa, CA",Napa,CA,38.4549,-122.2564
25,12700,"Barnstable, MA",Barnstable,MA,41.6983,-70.3001
26,17420,"Cleveland, TN",Cleveland,TN,35.1313,-84.875
27,20260,"Duluth, MN-WI",Duluth,MN,47.0056,-92.0019
28,26100,"Holland-Grand Haven, MI",Holland,MI,42.9856,-86.4448
29,37340,"Palm Bay-Melbourne-Titusville, FL",Palm Bay,FL,28.0313,-80.5995
30,71650,"Boston-Cambridge-Quincy, MA-NH",Boston,MA,42.3706,-71.027
31,19820,"Detroit-Warren-Dearborn, MI",Detroit,MI,42.3474,-83.0604
32,39340,"Provo-Orem, UT",Provo,UT,40.2319,-111.6755
33,29460,"Lakeland-Winter Haven, FL",Lakeland,FL,28.0381,-81.9392
34,29540,"Lancaster, PA",Lancaster,PA,40.0766,-76.3107
35,36740,"Orlando, FL",Orlando,FL,28.5399,-81.3727
